Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,TieneItems,PromedioCalificacion,CantidadEvaluacion,OrdenDescuentos,OrdenCargos,OrdenTotalNeto,OrdenPorcentajeIva,OrdenImpuestos,OrdenTotal,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,ItemTotalCargos,ItemTotalDescuentos,ItemTotalImpuestos,ItemTotal
1057430-1197-SE26,Mantención Correctiva de Caldera ,6,8,SE,CLP,1,5.0,1,0.0,0.0,3307900.0,19.0,628501.0,3936401.0,2026-05-02T18:47:50.107,2026-05-07T13:07:37.353,2026-05-10T01:15:17.39,,2026-05-07T09:32:00,1,"Supervisión de instalación, ajuste o mantenimiento",1.0,3307900.0,0.0,0.0,0.0,3307900.0
1057430-1198-SE26,Mantención Correctiva de Caldera ,6,8,SE,CLP,1,5.0,1,0.0,0.0,730000.0,19.0,138700.0,868700.0,2026-05-02T18:48:24.43,2026-05-07T13:08:49.093,2026-05-10T01:07:48.513,,2026-05-07T09:37:00,1,"Supervisión de instalación, ajuste o mantenimiento",1.0,730000.0,0.0,0.0,0.0,730000.0
1057509-5152-SE26,"Fotocopias Abril 2026 (Conv, PRM)",6,8,SE,CLP,1,0.0,0,0.0,0.0,3487424.0,19.0,662611.0,4150035.0,2026-05-06T15:39:33.44,2026-05-08T16:25:14.803,2026-05-10T01:59:28.86,,2026-05-06T15:43:00,3,Anillados,61.0,1200.0,0.0,0.0,0.0,73200.0
1057509-5152-SE26,"Fotocopias Abril 2026 (Conv, PRM)",6,8,SE,CLP,1,0.0,0,0.0,0.0,3487424.0,19.0,662611.0,4150035.0,2026-05-06T15:39:33.44,2026-05-08T16:25:14.803,2026-05-10T01:59:28.86,,2026-05-06T15:43:00,3,Anillados,43.0,1500.0,0.0,0.0,0.0,64500.0
1057509-5152-SE26,"Fotocopias Abril 2026 (Conv, PRM)",6,8,SE,CLP,1,0.0,0,0.0,0.0,3487424.0,19.0,662611.0,4150035.0,2026-05-06T15:39:33.44,2026-05-08T16:25:14.803,2026-05-10T01:59:28.86,,2026-05-06T15:43:00,3,Servicios de copias en blanco y negro,119633.0,28.0,0.0,0.0,0.0,3349724.0
1057534-536-CC26,Mantención Preventiva Plantas tratamiento de Agua ,6,14,CC,CLP,1,5.0,1,0.0,0.0,1300000.0,19.0,247000.0,1547000.0,2026-05-06T15:11:23.61,2026-05-07T12:17:31.883,2026-05-10T01:22:14.857,,2026-05-06T15:14:00,1,Servicio de mantenimiento de equipo de fabricación,1.0,1300000.0,0.0,0.0,0.0,1300000.0
1375735-19-AG26,P01 ADQ. EQUIPOS INFRAESTRUCTURA,6,13,AG,CLP,1,0.0,0,0.0,60000.0,4386370.0,19.0,844810.0,5291180.0,2026-05-05T10:53:55.973,2026-05-08T09:50:40.61,2026-05-10T02:42:56.937,,2026-05-08T09:14:00,9,Detectores,1.0,825990.0,0.0,0.0,0.0,0.0
1375735-19-AG26,P01 ADQ. EQUIPOS INFRAESTRUCTURA,6,13,AG,CLP,1,0.0,0,0.0,60000.0,4386370.0,19.0,844810.0,5291180.0,2026-05-05T10:53:55.973,2026-05-08T09:50:40.61,2026-05-10T02:42:56.937,,2026-05-08T09:14:00,9,Detectores de fugas de líquidos,1.0,829990.0,0.0,0.0,0.0,0.0
1375735-19-AG26,P01 ADQ. EQUIPOS INFRAESTRUCTURA,6,13,AG,CLP,1,0.0,0,0.0,60000.0,4386370.0,19.0,844810.0,5291180.0,2026-05-05T10:53:55.973,2026-05-08T09:50:40.61,2026-05-10T02:42:56.937,,2026-05-08T09:14:00,9,Detectores de gases inflamables o peligrosos para generadores,1.0,276800.0,0.0,0.0,0.0,0.0
1375735-19-AG26,P01 ADQ. EQUIPOS INFRAESTRUCTURA,6,13,AG,CLP,1,0.0,0,0.0,60000.0,4386370.0,19.0,844810.0,5291180.0,2026-05-05T10:53:55.973,2026-05-08T09:50:40.61,2026-05-10T02:42:56.937,,2026-05-08T09:14:00,9,Detectores,1.0,822900.0,0.0,0.0,0.0,0.0
1375735-19-AG26,P01 ADQ. EQUIPOS INFRAESTRUCTURA,6,13,AG,CLP,1,0.0,0,0.0,60000.0,4386370.0,19.0,844810.0,5291180.0,2026-05-05T10:53:55.973,2026-05-08T09:50:40.61,2026-05-10T02:42:56.937,,2026-05-08T09:14:00,9,Pirómetros,1.0,199900.0,0.0,0.0,0.0,0.0
