Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,TieneItems,PromedioCalificacion,CantidadEvaluacion,OrdenDescuentos,OrdenCargos,OrdenTotalNeto,OrdenPorcentajeIva,OrdenImpuestos,OrdenTotal,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,ItemTotalCargos,ItemTotalDescuentos,ItemTotalImpuestos,ItemTotal
1057545-522-AG26,CONVENIO SUMINISTRO SERVICIO DE CAFETERIA ACTIVIDADES DE CAPACITACION Orden de Compra generada por invitación a compra ágil: 1057545-80-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,4154700.0,19.0,789393.0,4944093.0,2026-05-15T11:16:40.453,2026-05-15T11:32:04.54,2026-05-17T00:48:49.077,,2026-05-15T11:31:00,1,Servicios de catering,1.0,4154700.0,0.0,0.0,0.0,0.0
1171142-1861-AG26,INSULINA GLULISINA 300 UI/3 ML (100 UI/ML) INYECTABLE EN LAPIZ PRELLENADO1171142-1151-COT26,5,13,AG,CLP,1,0.0,0,0.0,0.0,1283200.0,19.0,243808.0,1527008.0,2026-05-12T09:16:20.113,2026-05-15T15:54:39.767,,,2026-05-12T09:18:00,1,Insulina,100.0,12832.0,0.0,0.0,0.0,0.0
1233615-785-AG26, PHA/SOL 892/SALIDA PEDAGOGICA 19.05/LICEO JOSEFINA AGUIRRE MONTENEGRO compra ágil: 1233615-237-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,290000.0,0.0,0.0,290000.0,2026-05-15T13:44:05.513,2026-05-15T15:04:55.253,2026-05-17T00:10:48.783,,2026-05-15T13:48:00,1,Servicios de autobuses contratados,1.0,290000.0,0.0,0.0,0.0,0.0
1658-1334-AG26,Orden de Compra generada por invitación a compra ágil: 1658-608-COT26,6,13,AG,CLP,1,5.0,2,0.0,0.0,4900000.0,19.0,931000.0,5831000.0,2026-05-15T08:36:40.93,2026-05-15T13:54:37.833,2026-05-17T00:54:39.79,,2026-05-15T13:45:00,1,Producción de eventos,1.0,4900000.0,0.0,0.0,0.0,0.0
1968-1163-AG26,CCP TEMUCO ADQUISICIÓN DE TERMOS MANTENEDORES DE LIQUIDOS Y SOLIDOS PARA CENTRAL ALIMENTOS compra ágil: 1968-125-COT26,6,13,AG,CLP,1,5.0,2,0.0,0.0,1090000.0,19.0,207100.0,1297100.0,2026-05-14T15:43:53.63,2026-05-15T16:18:15.2,2026-05-17T00:53:39.58,,2026-05-15T16:13:00,2,Dispensadores de agua caliente o termos,4.0,200000.0,0.0,0.0,0.0,0.0
1968-1163-AG26,CCP TEMUCO ADQUISICIÓN DE TERMOS MANTENEDORES DE LIQUIDOS Y SOLIDOS PARA CENTRAL ALIMENTOS compra ágil: 1968-125-COT26,6,13,AG,CLP,1,5.0,2,0.0,0.0,1090000.0,19.0,207100.0,1297100.0,2026-05-14T15:43:53.63,2026-05-15T16:18:15.2,2026-05-17T00:53:39.58,,2026-05-15T16:13:00,2,Dispensadores de agua caliente o termos,1.0,290000.0,0.0,0.0,0.0,0.0
2981-458-SE26,PASAJE INTERNACIONAL,6,8,SE,CLP,1,5.0,4,0.0,0.0,2098279.0,0.0,0.0,2098279.0,2026-04-17T15:49:20.1,2026-04-28T11:34:30.273,2026-05-17T00:04:54.803,,2026-04-17T15:50:00,1,"Viajes en aviones comerciales, pasajes aéreos",1.0,2098279.0,0.0,0.0,0.0,2098279.0
2981-463-SE26,PASAJES NACIONALES DESTINACION,6,8,SE,CLP,1,5.0,4,0.0,0.0,240660.0,0.0,0.0,240660.0,2026-04-20T12:01:00.697,2026-04-28T10:30:56.67,2026-05-17T00:16:07.55,,2026-04-20T12:02:00,1,"Viajes en aviones comerciales, pasajes aéreos",1.0,240660.0,0.0,0.0,0.0,240660.0
2981-470-SE26,PASAJES NACIONALES COMETIDO FUNCIONARIO,6,8,SE,CLP,1,5.0,4,0.0,0.0,2519641.0,0.0,0.0,2519641.0,2026-04-21T11:58:07.44,2026-05-05T13:18:42.52,2026-05-17T00:36:56.11,,2026-04-21T11:59:00,1,"Viajes en aviones comerciales, pasajes aéreos",1.0,2519641.0,0.0,0.0,0.0,2519641.0
