Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,TieneItems,PromedioCalificacion,CantidadEvaluacion,OrdenDescuentos,OrdenCargos,OrdenTotalNeto,OrdenPorcentajeIva,OrdenImpuestos,OrdenTotal,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,ItemTotalCargos,ItemTotalDescuentos,ItemTotalImpuestos,ItemTotal
1057414-358-TD26,Orden de Compra generada por Trato Directo ID 1057414-17-FTD26,6,16,TD,CLP,1,4.777777777777778,9,0.0,0.0,1755824.0,19.0,333607.0,2089431.0,2026-05-15T11:46:00,2026-05-15T15:27:53.323,2026-05-16T04:50:19.497,,2026-05-15T11:48:00,1,Impresoras de imágenes digitales,1.0,1755824.0,0.0,0.0,0.0,0.0
1057434-531-SE26,SERVICIOS DE MOVILIZACION PARA TRASLADO DE EQUIPOS DE SALUD Y REQUERIMIENTOS A FINES DEL CESFAM DR. VICTOR MANUEL FERNANDEZ,6,8,SE,CLP,1,0.0,0,0.0,0.0,200000.0,0.0,0.0,200000.0,2026-05-13T12:03:07.697,2026-05-14T08:42:09.587,2026-05-16T01:11:58.227,,2026-05-14T08:42:00,1,Servicios de autobuses contratados,1.0,200000.0,0.0,0.0,0.0,200000.0
1057439-3391-TD26,Orden de Compra generada por Trato Directo ID 1057439-551-FTD26,6,16,TD,CLP,1,0.0,0,0.0,0.0,134753.0,15.25,24248.0,159001.0,2026-05-15T08:59:42,2026-05-15T14:31:05.343,2026-05-16T02:55:22.553,,2026-05-15T09:04:00,1,Personal médico,1.0,134753.0,0.0,0.0,0.0,0.0
1057536-1389-AG26,Orden de Compra generada por invitación a compra ágil: 1057536-562-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,6875000.0,0.0,0.0,6875000.0,2026-05-13T10:25:55.12,2026-05-13T10:33:21.213,2026-05-16T07:30:49.447,,2026-05-13T10:32:00,2,Unidades de ecografía o eco pulso o doppler o ultrasonido médico para uso diagnóstico general,150.0,29500.0,0.0,0.0,0.0,0.0
1057536-1389-AG26,Orden de Compra generada por invitación a compra ágil: 1057536-562-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,6875000.0,0.0,0.0,6875000.0,2026-05-13T10:25:55.12,2026-05-13T10:33:21.213,2026-05-16T07:30:49.447,,2026-05-13T10:32:00,2,Unidades de ecografía o eco pulso o doppler o ultrasonido médico para uso diagnóstico general,70.0,35000.0,0.0,0.0,0.0,0.0
1058498-20-SE26,ARRIENDO DE IMPRESORA BROTHER L6900DW 30/36 MES DE ABRIL 2026 (INFORMATICA),6,8,SE,USD,1,4.777777777777778,9,0.0,0.0,2444.04,19.0,464.37,2908.41,2026-05-15T10:32:34.05,2026-05-15T15:32:02.767,2026-05-16T05:07:45.337,,2026-05-15T10:37:00,1,Impresoras multifunción o multifuncionales,1.0,2444.04,0.0,0.0,0.0,2444.04
1077908-89-AG26,SC N° 284 COMPRA DE CARRO DE TRASLADO DE ROPA Y TEXTILES/ LAVANDERIA PARA UNIDAD EMERGENCIA DEL C.O.N.,6,13,AG,CLP,1,0.0,0,0.0,0.0,200000.0,19.0,38000.0,238000.0,2026-05-14T16:18:05.337,2026-05-14T16:40:22.767,2026-05-16T01:15:10.043,,2026-05-14T16:40:00,1,Accesorios para carros de limpieza,1.0,200000.0,0.0,0.0,0.0,0.0
1233613-887-SE26,PARLANTE- MARZO-ESCUELA ESPAÑA,6,8,SE,CLP,1,0.0,0,0.0,0.0,2220000.0,19.0,421800.0,2641800.0,2026-04-17T09:54:05.693,2026-05-15T08:24:51.287,2026-05-16T07:28:02.197,,2026-04-17T11:22:00,1,Cable de alimentación,3.0,740000.0,0.0,0.0,0.0,2220000.0
1238167-163-TD26,Orden de Compra generada por Trato Directo ID 1238167-22-FTD26,6,16,TD,CLP,1,0.0,0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,2026-05-14T17:46:02,2026-05-15T10:37:20.51,2026-05-16T00:19:58.487,,2026-05-14T17:49:00,1,Teatro,1.0,1000000.0,0.0,0.0,0.0,0.0
1413-392-AG26,CDP DE CASTRO REQUIERE HERRAMIENTA PARA MANTENCIÓN (ROTOMARTILLO compra ágil: 1413-145-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,190000.0,19.0,36100.0,226100.0,2026-05-11T14:09:59.763,2026-05-15T13:00:27.477,2026-05-16T06:34:34.333,,2026-05-11T14:54:00,1,Martillos de impacto,1.0,190000.0,0.0,0.0,0.0,0.0
