Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,TieneItems,PromedioCalificacion,CantidadEvaluacion,OrdenDescuentos,OrdenCargos,OrdenTotalNeto,OrdenPorcentajeIva,OrdenImpuestos,OrdenTotal,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,ItemTotalCargos,ItemTotalDescuentos,ItemTotalImpuestos,ItemTotal
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,2.0,20000.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,3.0,1000.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,4.0,1000.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,1.0,1500.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,1.0,2500.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,5.0,100.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,30.0,500.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,30.0,500.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Accesorios eléctricos,30.0,500.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Cemento,9.0,7000.0,0.0,0.0,0.0,0.0
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,12,13,AG,CLP,1,0.0,0,0.0,0.0,199500.0,19.0,37905.0,237405.0,2026-04-22T08:11:30.623,2026-04-28T14:57:18.103,2026-05-01T20:12:46.003,,2026-04-27T09:37:00,11,Grava,1.0,40000.0,0.0,0.0,0.0,0.0
1000-8-SE26,ORDEN DE COMPRA DESDE 1000-5-LE26,6,8,SE,CLP,1,0.0,0,0.0,0.0,3519500.0,19.0,668705.0,4188205.0,2026-05-12T12:24:00.71,2026-05-12T16:50:22.46,2026-05-13T08:01:59.23,,2026-05-12T16:50:00,1,Parachoques para automóviles,1.0,3519500.0,0.0,0.0,0.0,3519500.0
1002-172-SE26,ORDEN DE COMPRA DESDE 1002-48-LP26,4,8,SE,CLP,1,0.0,0,0.0,0.0,109200000.0,19.0,20748000.0,129948000.0,2026-05-13T09:04:01.44,2026-05-13T09:07:13.453,,,2026-05-13T09:06:00,1,Asfalto,700.0,156000.0,0.0,0.0,0.0,109200000.0
