Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,TieneItems,PromedioCalificacion,CantidadEvaluacion,OrdenDescuentos,OrdenCargos,OrdenTotalNeto,OrdenPorcentajeIva,OrdenImpuestos,OrdenTotal,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,ItemTotalCargos,ItemTotalDescuentos,ItemTotalImpuestos,ItemTotal
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-165-CM26,LP_ADQUISICIÓN DE PASAJES PARA SLC LICENCIADOS.-Orden de Compra: 1000813-165-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T07:55:13.727,2026-05-14T08:01:55.84,2026-05-14T08:01:55.937,,2026-05-14T08:00:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
1000813-166-CM26,LP_ADQUISICIÓN DE PASAJES AEREOS PARA SLC LICENCIADOS.-Orden de Compra: 1000813-166-CM26,6,9,CM,CLP,1,4.0,270,0.0,71307.0,599319.0,19.0,0.0,670626.0,2026-05-14T08:18:04,2026-05-14T08:22:33.243,2026-05-14T08:22:33.293,,2026-05-14T08:21:00,9,PASAJE AÉREO NACIONAL,1.0,66591.0,0.0,0.0,0.0,66591.0
