Codigo,Nombre,CodigoEstado,EstadoDescripcion,TipoMoneda,OrdenTotalNeto,OrdenTotal,Producto,Cantidad,PrecioNeto,ItemTotal,FechaCreacion,FechaProcesamiento
1002592-25-SE25,Cdp 100 Servicio Control De Acceso Nivel Central,12,Recepción Conforme,CLP,9600000.0,11424000.0,Reloj de control,1.0,9600000.0,9600000.0,2025-06-03T16:02:03,2026-05-22 13:33:33
1002772-5575-SE26,"Porta Objeto Franja Esmerilada 26 X 76 Mm Id:1002772-77-Lq25 (Lc,Apa,2204005002,Cbo)",6,Aceptada,CLP,140000.0,166600.0,Laboratorios de análisis sanguíneos,5000.0,28.0,140000.0,2026-04-16T15:53:47.48,2026-05-22 13:33:33
1002772-5740-AG26,"Alicate Corte Distal Con Seguridad A Compra Ágil: 1002772-1116-Cot26 (Ag,Odontologia,2204004005,Cmg)",12,Recepción Conforme,CLP,1627560.0,1936796.0,Alicates ortodónticos,8.0,203445.0,0.0,2026-04-21T10:24:20.43,2026-05-22 13:33:33
1002772-5876-AG26,"Canula Traqueostomia N° 9 Mm Con Balon Y Endocanula (2-20) Id:1002772-1082-Cot26 (Ag,Pedia,2204005003,Mtm)",6,Aceptada,CLP,329000.0,391510.0,Accesorios de traqueotomía,10.0,32900.0,0.0,2026-04-23T17:52:27.277,2026-05-22 13:33:33
1002772-6048-SE26,"Introductor De Tet Maleable Tipo Gum Elastic Bougie (Via Aerea Dificil) Adulto(1-15) Id: 1002772-147-Lr25 (Lc,Emeradul,2204005003,Mtm)",12,Recepción Conforme,CLP,790000.0,940100.0,Introductores,100.0,7900.0,790000.0,2026-04-29T15:00:03.11,2026-05-22 13:33:33
1002772-6097-AG26,"Circuito Desechable Doble Rama Calefaccionada Con Conexión En Y Para Ventilador Mecánico Convencional/Vafo Marca Drager Modelo Vn500 Id:1002772-1273-Cot26 (Ag,Neona,2204005003,Mtm)",12,Recepción Conforme,CLP,1300000.0,1547000.0,Circuito de respiración o ventilador,50.0,26000.0,0.0,2026-04-30T16:27:30.553,2026-05-22 13:33:33
1002772-6118-SE26,"Lamina De Contacto, Transparente, Porosa, Con Silicona, Medidas 5 X 7.5 Cms Aprox (Cuidados De La Pie, Caae, Neo),Id: 1002772-88-Lr25 (Lc,Traumatologia ,2204004003,Apg)",12,Recepción Conforme,CLP,102130.0,121535.0,Apósitos secos,70.0,1459.0,102130.0,2026-05-04T11:58:58.66,2026-05-22 13:33:33
1002772-6146-AG26,"Aguja Corta Y Larga Carpule A Compra Ágil: 1002772-1305-Cot26 (Ag,Odontologia,2204004005,Cmg)",12,Recepción Conforme,CLP,305000.0,362950.0,"Jeringas dentales, agujas o jeringas con agujas",2500.0,61.0,0.0,2026-05-05T14:37:53.157,2026-05-22 13:33:33
