Codigo,Nombre,CodigoEstado,EstadoDescripcion,TipoMoneda,OrdenTotalNeto,OrdenTotal,Producto,Cantidad,PrecioNeto,ItemTotal,FechaCreacion,FechaProcesamiento
1057414-358-TD26,Orden De Compra Generada Por Trato Directo Id 1057414-17-Ftd26,6,Aceptada,CLP,1755824.0,2089431.0,Impresoras de imágenes digitales,1.0,1755824.0,0.0,2026-05-15T11:46:00,2026-05-22 13:33:33
1057434-531-SE26,Servicios De Movilizacion Para Traslado De Equipos De Salud Y Requerimientos A Fines Del Cesfam Dr. Victor Manuel Fernandez,6,Aceptada,CLP,200000.0,200000.0,Servicios de autobuses contratados,1.0,200000.0,200000.0,2026-05-13T12:03:07.697,2026-05-22 13:33:33
1057439-3391-TD26,Orden De Compra Generada Por Trato Directo Id 1057439-551-Ftd26,6,Aceptada,CLP,134753.0,159001.0,Personal médico,1.0,134753.0,0.0,2026-05-15T08:59:42,2026-05-22 13:33:33
1057536-1389-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057536-562-Cot26,6,Aceptada,CLP,6875000.0,6875000.0,Unidades de ecografía o eco pulso o doppler o ultrasonido médico para uso diagnóstico general,150.0,29500.0,0.0,2026-05-13T10:25:55.12,2026-05-22 13:33:33
1057536-1389-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057536-562-Cot26,6,Aceptada,CLP,6875000.0,6875000.0,Unidades de ecografía o eco pulso o doppler o ultrasonido médico para uso diagnóstico general,70.0,35000.0,0.0,2026-05-13T10:25:55.12,2026-05-22 13:33:33
1058498-20-SE26,Arriendo De Impresora Brother L6900Dw 30/36 Mes De Abril 2026 (Informatica),6,Aceptada,USD,2444.04,2908.41,Impresoras multifunción o multifuncionales,1.0,2444.04,2444.04,2026-05-15T10:32:34.05,2026-05-22 13:33:33
1077908-89-AG26,Sc N° 284 Compra De Carro De Traslado De Ropa Y Textiles/ Lavanderia Para Unidad Emergencia Del C.O.N.,6,Aceptada,CLP,200000.0,238000.0,Accesorios para carros de limpieza,1.0,200000.0,0.0,2026-05-14T16:18:05.337,2026-05-22 13:33:33
1233613-887-SE26,Parlante- Marzo-Escuela España,6,Aceptada,CLP,2220000.0,2641800.0,Cable de alimentación,3.0,740000.0,2220000.0,2026-04-17T09:54:05.693,2026-05-22 13:33:33
1238167-163-TD26,Orden De Compra Generada Por Trato Directo Id 1238167-22-Ftd26,6,Aceptada,CLP,1000000.0,1000000.0,Teatro,1.0,1000000.0,0.0,2026-05-14T17:46:02,2026-05-22 13:33:33
1413-392-AG26,Cdp De Castro Requiere Herramienta Para Mantención (Rotomartillo Compra Ágil: 1413-145-Cot26,6,Aceptada,CLP,190000.0,226100.0,Martillos de impacto,1.0,190000.0,0.0,2026-05-11T14:09:59.763,2026-05-22 13:33:33
