Codigo,Nombre,CodigoEstado,EstadoDescripcion,TipoMoneda,OrdenTotalNeto,OrdenTotal,Producto,Cantidad,PrecioNeto,ItemTotal,FechaCreacion,FechaProcesamiento
1057545-522-AG26,Convenio Suministro Servicio De Cafeteria Actividades De Capacitacion Orden De Compra Generada Por Invitación A Compra Ágil: 1057545-80-Cot26,6,Aceptada,CLP,4154700.0,4944093.0,Servicios de catering,1.0,4154700.0,0.0,2026-05-15T11:16:40.453,2026-05-20 13:42:12
1171142-1861-AG26,Insulina Glulisina 300 Ui/3 Ml (100 Ui/Ml) Inyectable En Lapiz Prellenado1171142-1151-Cot26,5,En Proceso,CLP,1283200.0,1527008.0,Insulina,100.0,12832.0,0.0,2026-05-12T09:16:20.113,2026-05-20 13:42:12
1233615-785-AG26,Pha/Sol 892/Salida Pedagogica 19.05/Liceo Josefina Aguirre Montenegro Compra Ágil: 1233615-237-Cot26,6,Aceptada,CLP,290000.0,290000.0,Servicios de autobuses contratados,1.0,290000.0,0.0,2026-05-15T13:44:05.513,2026-05-20 13:42:12
1658-1334-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1658-608-Cot26,6,Aceptada,CLP,4900000.0,5831000.0,Producción de eventos,1.0,4900000.0,0.0,2026-05-15T08:36:40.93,2026-05-20 13:42:12
1968-1163-AG26,Ccp Temuco Adquisición De Termos Mantenedores De Liquidos Y Solidos Para Central Alimentos Compra Ágil: 1968-125-Cot26,6,Aceptada,CLP,1090000.0,1297100.0,Dispensadores de agua caliente o termos,4.0,200000.0,0.0,2026-05-14T15:43:53.63,2026-05-20 13:42:12
1968-1163-AG26,Ccp Temuco Adquisición De Termos Mantenedores De Liquidos Y Solidos Para Central Alimentos Compra Ágil: 1968-125-Cot26,6,Aceptada,CLP,1090000.0,1297100.0,Dispensadores de agua caliente o termos,1.0,290000.0,0.0,2026-05-14T15:43:53.63,2026-05-20 13:42:12
2981-458-SE26,Pasaje Internacional,6,Aceptada,CLP,2098279.0,2098279.0,"Viajes en aviones comerciales, pasajes aéreos",1.0,2098279.0,2098279.0,2026-04-17T15:49:20.1,2026-05-20 13:42:12
2981-463-SE26,Pasajes Nacionales Destinacion,6,Aceptada,CLP,240660.0,240660.0,"Viajes en aviones comerciales, pasajes aéreos",1.0,240660.0,240660.0,2026-04-20T12:01:00.697,2026-05-20 13:42:12
2981-470-SE26,Pasajes Nacionales Cometido Funcionario,6,Aceptada,CLP,2519641.0,2519641.0,"Viajes en aviones comerciales, pasajes aéreos",1.0,2519641.0,2519641.0,2026-04-21T11:58:07.44,2026-05-20 13:42:12
