Codigo,Nombre,CodigoEstado,EstadoDescripcion,TipoMoneda,OrdenTotalNeto,OrdenTotal,Producto,Cantidad,PrecioNeto,ItemTotal,FechaCreacion,FechaProcesamiento
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Desodorantes,69.0,1490.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Paños de limpieza,62.0,500.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Escobillones,25.0,1190.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Limpiadores de uso general,40.0,850.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Mopas húmedas,27.0,2890.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Limpiadores de uso general,29.0,1190.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Limpiadores de suelo,33.0,1990.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Desinfectantes domésticos,64.0,1600.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Bolsas de basura,120.0,550.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Limpiadores de suelo,63.0,2990.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1000813-125-AG26,Lp_Adq. De Utiles De Aseo Para El Cuartel General De La V De-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-91-Cot26,12,Recepción Conforme,CLP,983640.0,1170532.0,Bolsas de basura,90.0,2790.0,0.0,2026-04-22T13:11:52.96,2026-05-13 13:13:47
1002772-3862-AG26,"Manga Con Guante Elastocompresiva (Diferentes), Id 1002772-257-Cot26, (Ag, Medicina Física Y Rehabilitación, 2204005003, Pcr)",12,Recepción Conforme,CLP,3628000.0,4317320.0,Vendas o apósitos compresores,20.0,98200.0,0.0,2026-02-10T11:41:44.85,2026-05-13 13:13:47
1002772-3862-AG26,"Manga Con Guante Elastocompresiva (Diferentes), Id 1002772-257-Cot26, (Ag, Medicina Física Y Rehabilitación, 2204005003, Pcr)",12,Recepción Conforme,CLP,3628000.0,4317320.0,Vendas o apósitos compresores,20.0,83200.0,0.0,2026-02-10T11:41:44.85,2026-05-13 13:13:47
1002772-6166-SE26,Oc De Formalizacion,6,Aceptada,CLP,1.0,1.0,Protectores o tapas para la punta del endoscopio,1.0,1.0,1.0,2026-05-05T15:34:31.33,2026-05-13 13:13:47
1008790-52-AG26,Articulos De Laboratorio (504066-71): 1008790-70-Cot26,6,Aceptada,CLP,488999.0,581909.0,Accesorios para recintos cerrados de laboratorio,1.0,488999.0,0.0,2026-05-04T11:17:41.15,2026-05-13 13:13:47
1028-157-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1028-19-Cot26,6,Aceptada,CLP,1020000.0,1213800.0,Toallas de papel,170.0,6000.0,0.0,2026-05-06T07:39:17.153,2026-05-13 13:13:47
1028871-209-SE26,P02_Ee_Subv.General_Calzado Escolar_Marzo2026,12,Recepción Conforme,CLP,24238322.0,28843603.0,Zapatos de niño,1.0,24238322.0,24238322.0,2026-03-30T11:21:18.3,2026-05-13 13:13:47
1028871-300-SE26,P02_Oc_Rbd40340_Aliment_Internadolbac_S.Gral_May26,4,Enviada a Proveedor,CLP,7650500.0,9104095.0,Servicios de cocina o preparación de comidas,1.0,7650500.0,7650500.0,2026-05-05T16:18:29.21,2026-05-13 13:13:47
1028897-343-SE26,"Sp 12/36 Suministro Continuo De Mantención, Reparación Y Atención De Contingencias De Infraestructura Línea 2 Carahue. Faep. Modificación(Jg)",6,Aceptada,CLP,11344538.0,13500000.0,"Restauración de edificios, casas, señales o monumentos",1.0,11344538.0,11344538.0,2026-05-04T16:50:25.73,2026-05-13 13:13:47
1035685-139-TD26,Orden De Compra Generada Por Trato Directo Id 1035685-14-Ftd26,6,Aceptada,CLP,1500000.0,1500000.0,Servicios de auditoria gubernamentales,1.0,1500000.0,0.0,2026-05-04T14:09:27,2026-05-13 13:13:47
1043046-41-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1043046-13-Cot26,12,Recepción Conforme,CLP,80000.0,95200.0,Cubiertas de dispositivos de ingreso de datos de computador,1.0,80000.0,0.0,2026-04-23T12:53:55.977,2026-05-13 13:13:47
