Codigo,Nombre,CodigoEstado,EstadoDescripcion,TipoMoneda,OrdenTotalNeto,OrdenTotal,Producto,Cantidad,PrecioNeto,ItemTotal,FechaCreacion,FechaProcesamiento
1000-8-SE26,Orden De Compra Desde 1000-5-Le26,6,Aceptada,CLP,3519500.0,4188205.0,Parachoques para automóviles,1.0,3519500.0,3519500.0,2026-05-12T12:24:00.71,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Accesorios eléctricos,2.0,20000.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Cemento,9.0,7000.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Accesorios eléctricos,30.0,500.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Accesorios eléctricos,5.0,100.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Grava,1.0,40000.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Accesorios eléctricos,1.0,1500.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Accesorios eléctricos,4.0,1000.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Accesorios eléctricos,3.0,1000.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,12,Recepción Conforme,CLP,199500.0,237405.0,Accesorios eléctricos,1.0,2500.0,0.0,2026-04-22T08:11:30.623,2026-05-23 12:01:33
1002-172-SE26,Orden De Compra Desde 1002-48-Lp26,4,Enviada a Proveedor,CLP,109200000.0,129948000.0,Asfalto,700.0,156000.0,109200000.0,2026-05-13T09:04:01.44,2026-05-23 12:01:33
1002584-21-SE26,"Aprueba Contrato Denominado “Servicio De Traslado De Pasajeros Y Taxi Ejecutivo Para Funcionarios De La Dirección De Educación Pública”, Proveniente De La Licitación Pública Id N° 1002584-14-Le25.",6,Aceptada,CLP,60000000.0,60000000.0,Servicios de taxi,400000.0,150.0,60000000.0,2026-01-15T11:30:01.28,2026-05-23 12:01:33
1002772-6148-SE26,"Apósito Sacro De Espuma Hidrofilica Multicapas Adhesivo,Id 1002772-81-Lq25 (Lc,Cuidado De La Piel,220404003,Apg)",12,Recepción Conforme,CLP,2130000.0,2534700.0,Vendajes de apósitos,500.0,4260.0,2130000.0,2026-05-05T15:06:54.32,2026-05-23 12:01:33
1002772-6287-AG26,"Electrodo Tens 5X5 Cm Desechable Id: 1002772-1325-Cot26 (Ag,Medicina Física Y Rehabilitación,Caae Gineco/Obstetrico - Poli Mamas,2204005003,Rrc)",6,Aceptada,CLP,395250.0,470348.0,Trocares quirúrgicos para uso general o accesorios,2550.0,155.0,0.0,2026-05-11T12:07:06.557,2026-05-23 12:01:33
1003473-2388-AG26,Prog. Laboratorio Mayo 2026 Compra Ágil: 1003473-2238-Cot26,6,Aceptada,CLP,769000.0,915110.0,Tubos de ensayo multipropósito o generales,1.0,769000.0,0.0,2026-05-08T11:55:50.457,2026-05-23 12:01:33
1009566-3-SE26,Servicio De Jardines Año 2026,12,Recepción Conforme,CLP,3044538.0,3623000.0,Servicios de sembradío o mantenimiento de jardines,12.0,253711.484,3044537.808,2026-01-21T11:38:00.823,2026-05-23 12:01:33
1011254-204-SE26,Mantencion Correctiva A Carro Baño Maria,4,Enviada a Proveedor,CLP,854000.0,1016260.0,Servicio de reparación de equipo de fabricación,1.0,854000.0,854000.0,2026-05-04T14:26:17.253,2026-05-23 12:01:33
1011254-206-SE26,Mantenimiento Preventivo A Lavadora De Endoscopio Choyang,4,Enviada a Proveedor,CLP,2600000.0,3094000.0,Servicio de reparación de equipo de fabricación,1.0,2600000.0,2600000.0,2026-05-04T14:47:44.85,2026-05-23 12:01:33
